domain	name	region	tranco
sites.google.com	Bronx News	US	1
news.google.com	The Register-Guard	US	1
google.com	Weekly World News	US	1
finance.yahoo.com	Yahoo Finance	US	62
news.yahoo.com	Yahoo! News	US	62
msn.com	MSN	US	63
umdsbs.wordpress.com	Stories Beneath the Shell	US	100
web.archive.org	America Oggi	US	146
nytimes.com	nytimes.com	US	153
medium.com	The Colby Echo	US	186
cnn.com	CNN	US	190
forbes.com	Forbes	US	201
weather.com	Weather Channel	US	251
reuters.com	Reuters	US	277
cdc.gov	Emerging Infectious Diseases	US	341
wwwnc.cdc.gov	Emerging Infectious Diseases	US	341
issuu.com	The Blowfish	US	344
wsj.com	Wall Street Journal	US	348
washingtonpost.com	Washington Post	US	358
bloomberg.com	Bloomberg	US	359
businessinsider.com	Business Insider	US	432
espn.com	ESPN	US	440
jessica.substack.com	All in Her Head	US	443
abcnews.go.com	ABC News	US	449
cnbc.com	CNBC	US	450
npr.org	NPR	US	481
fandom.com	Fandom	US	488
foxnews.com	Fox News	US	502
wired.com	WIRED	US	523
usatoday.com	USA Today	US	540
time.com	TIME	US	542
news.cornell.edu	Cornell Chronicle	US	547
hdl.loc.gov	El Mundo	US	607
chroniclingamerica.loc.gov	The Appeal	US	607
loc.gov	Draugas	US	607
stacks.loc.gov	Army Times	US	607
techcrunch.com	TechCrunch	US	625
cbsnews.com	CBS News	US	653
cnet.com	CNET	US	661
apnews.com	Associated Press	US	779
people.com	People	US	797
theverge.com	Verge	US	810
nbcnews.com	NBC News	US	817
chess.com	Chess.com	US	870
latimes.com	Daily Pilot	US	871
genius.com	Genius	US	929
nationalgeographic.com	National Geographic	US	949
theatlantic.com	Atlantic	US	969
pbs.org	PBS	US	999
huffpost.com	HuffPost	US	1007
nypost.com	New York Post	US	1073
fortune.com	Fortune	US	1093
jstor.org	off our backs	US	1241
daily.jstor.org	JSTOR Daily	US	1241
usnews.com	U.S. News & World Report	US	1346
newsweek.com	Newsweek	US	1578
newyorker.com	New Yorker	US	1760
zdnet.com	ZDNET	US	1839
marketwatch.com	MarketWatch	US	1865
vice.com	VICE.com	US	1895
arstechnica.com	Ars Technica	US	1909
fastcompany.com	Fast Company	US	1969
gizmodo.com	Gizmodo	US	2073
politico.com	Politico	US	2074
mashable.com	Mashable	US	2096
ign.com	Q207708	US	2101
engadget.com	Engadget	US	2176
ufdc.ufl.edu	The Sun	US	2203
variety.com	Variety	US	2206
vox.com	Vox	US	2254
axios.com	Axios	US	2384
slate.com	Slate	US	2405
rollingstone.com	Rolling Stone	US	2407
sfgate.com	SFGATE	US	2464
qz.com	Quartz	US	2517
technologyreview.com	MIT Technology Review	US	2593
wildcat.arizona.edu	Arizona Daily Wildcat	US	2595
thehill.com	The Hill	US	2609
hollywoodreporter.com	Hollywood Reporter	US	2642
bizjournals.com	Business Journal	US	2726
pittsburgh.bizjournals.com	Pittsburgh Business Times	US	2726
birmingham.bizjournals.com	Birmingham Business Journal	US	2726
chicagotribune.com	Lake Forester	US	2788
lakeforest.chicagotribune.com	Lake Forester	US	2788
venturebeat.com	VentureBeat	US	2796
newspapers.sos.wa.gov	Cayton's Weekly	US	2833
discovery.com	Discovery	US	2925
vogue.com	Vogue	US	2961
tmz.com	TMZ	US	3099
thedailybeast.com	Daily Beast	US	3117
si.com	Sports Illustrated	US	3140
foxsports.com	Fox Sports	US	3146
nymag.com	New York	US	3285
voanews.com	Voice of America	US	3295
deadline.com	Deadline	US	3325
vanityfair.com	Vanity Fair	US	3420
advertiserdemocrat.com.com	The Advertiser Democrat	US	3438
njjewishnews.timesofisrael.com	New Jersey Jewish News	US	3456
salon.com	Salon	US	3496
boston.com	Boston.com	US	3515
nydailynews.com	Daily News	US	3520
search.proquest.com	Defense News	US	3557
gateway.proquest.com	The Gazette	US	3557
digitalmicrofilm1.proquest.com	Statesman Journal	US	3557
proquest.com	Statesman Journal	US	3557
gradynewsource.uga.edu	Grady Newsource	US	3582
stlow.iii.com	The Columbian	US	3750
space.com	Space.com	US	3761
coindesk.com	CoinDesk	US	3779
bostonglobe.com	Boston Globe	US	3842
hdl.handle.net	Newtown Bee	US	3965
seattletimes.com	Seattle Times	US	3991
umass.edu	The Campus Chronicle	US	4095
oregonnews.uoregon.edu	Mail Tribune	US	4116
macrumors.com	MacRumors	US	4122
propublica.org	ProPublica	US	4257
resolver.library.ualberta.ca	The Buffalo News	US	4353
foreignpolicy.com	Foreign Policy	US	4516
barrons.com	Barron's	US	4518
msnbc.com	MSNBC	US	4577
ap.org	Associated Press	US	4614
universe.byu.edu	The Universe	US	4741
bleacherreport.com	Bleacher Report	US	4770
lexisnexis.com	The Hill	US	4775
gallica.bnf.fr	Q16763951	US	4886
washingtontimes.com	Washington Times	US	4960
miamiherald.com	Miami Herald	US	5006
mercurynews.com	Mercury News	US	5037
cdnc.ucr.edu	Imperial Valley Press	US	5060
bleepingcomputer.com	BleepingComputer	US	5084
dallasnews.com	Al Dia Dallas	US	5146
csmonitor.com	The Christian Science Monitor	US	5184
upi.com	United Press International	US	5253
breitbart.com	Breitbart	US	5284
startribune.com	Star Tribune	US	5396
nj.com	NJ.com	US	5427
theepochtimes.com	Epoch Times	US	5560
bibpurl.oclc.org	The Hill	US	5607
liverpool.idm.oclc.org	The Columbus Dispatch	US	5607
newfirstsearch.oclc.org	The Gazette	US	5607
0-nouveau.europresse.com.pugwash.lib.warwick.ac.uk	The Pantagraph	US	5627
0-www.bpe.europresse.com.pugwash.lib.warwick.ac.uk	The Pantagraph	US	5627
0-www.nexis.com.pugwash.lib.warwick.ac.uk	The Pantagraph	US	5627
9to5mac.com	9to5Mac	US	5670
search.ebscohost.com	The Day	US	5718
ebscohost.com	New Pittsburgh Courier	US	5718
boingboing.net	Boing Boing	US	5739
motherjones.com	Mother Jones	US	5816
pagesix.com	Page Six	US	5854
eonline.com	E!	US	5889
chicago.suntimes.com	Chicago Sun-Times	US	5915
suntimes.com	Chicago Sun-Times	US	5915
oregonlive.com	Oregonian	US	5963
azcentral.com	Arizona Republic	US	5976
denverpost.com	Denver Post	US	6039
newrepublic.com	New Republic	US	6052
sbnation.com	SB Nation	US	6108
thenation.com	The Nation	US	6171
inquirer.com	Philadelphia Inquirer	US	6182
vulture.com	Vulture	US	6203
mtv.com	MTV News	US	6220
freep.com	Detroit Free Press	US	6265
telegram.com	Telegram & Gazette	US	6354
sfchronicle.com	San Francisco Chronicle	US	6423
theintercept.com	Intercept	US	6461
eater.com	Eater	US	6477
sandiegouniontribune.com	Ramona Sentinel	US	6554
gale.cengage.com	The News & Observer	US	6568
rfa.org	Radio Free Asia	US	6576
newsmax.com	Newsmax	US	6706
futurism.com	Futurism	US	6732
ajc.com	Atlanta Journal-Constitution	US	6889
observer.com	New York Observer	US	6916
military.com	military.com	US	6927
buzzfeednews.com	Buzzfeed News	US	6930
discovermagazine.com	Discover	US	6979
cleveland.com	Cleveland.com	US	7221
baltimoresun.com	Aegis	US	7248
rferl.org	Radio Free Europe/Radio Liberty	US	7274
statnews.com	STAT	US	7461
theonion.com	Onion	US	7466
mlive.com	MLive	US	7494
businessinsider.com.pl	Business Insider	US	7640
pitchfork.com	Pitchfork	US	7767
zerohedge.com	ZeroHedge	US	7811
washingtonexaminer.com	Washington Examiner	US	7874
examiner.com	San Francisco Examiner	US	7904
nationalreview.com	National Review	US	8107
al.com	AL.com	US	8248
thecut.com	The Cut	US	8326
news.bloomberglaw.com	Bloomberg Law	US	8382
newsday.com	Newsday	US	8611
chronicle.com	The Chronicle of Higher Education	US	8738
thewrap.com	Wrap	US	8743
