# UK curated core
theguardian.com | The Guardian
bbc.co.uk | BBC
ft.com | Financial Times
telegraph.co.uk | The Telegraph
dailymail.co.uk | Daily Mail
independent.co.uk | The Independent
theconversation.com | The Conversation
goal.com | Goal
skysports.com | Sky Sports
economist.com | Economist
news.sky.com | Sky News
thesun.co.uk | The Sun
mirror.co.uk | Daily Mirror
express.co.uk | Daily Express
itv.com | ITV News
metro.co.uk | Metro
thetimes.com | The Times
politico.eu | Politico Europe
standard.co.uk | The Standard
channel4.com | Channel 4
huffingtonpost.co.uk | HuffPost UK
gbnews.com | GB News
scotsman.com | Scotsman
manchestereveningnews.co.uk | Manchester Evening News
walesonline.co.uk | WalesOnline
theweek.com | The Week
inews.co.uk | i
dailystar.co.uk | Daily Star
newstatesman.com | New Statesman
liverpoolecho.co.uk | Liverpool Echo
radiotimes.com | Radio Times
dailyrecord.co.uk | Daily Record
talksport.com | talkSPORT
opendemocracy.net | openDemocracy
spectator.co.uk | Spectator
heraldscotland.com | The Herald
digitalspy.com | Digital Spy
cityam.com | City A.M.
belfasttelegraph.co.uk | Belfast Telegraph
football365.com | Football365
birminghammail.co.uk | Birmingham Mail
ladbible.com | LADbible
chroniclelive.co.uk | ChronicleLive
thescottishsun.co.uk | Scottish Sun
bristolpost.co.uk | BristolLive
lbc.co.uk | LBC
yorkshirepost.co.uk | The Yorkshire Post
givemesport.com | GiveMeSport
irishnews.com | The Irish News
thenational.scot | National
unilad.com | UNILAD
indy100.com | indy100
coventrytelegraph.net | CoventryLive
devonlive.com | DevonLive
theargus.co.uk | The Argus
oxfordmail.co.uk | Oxford Mail
thenorthernecho.co.uk | The Northern Echo
mylondon.news | MyLondon
thestar.co.uk | The Star (Sheffield)
nottinghampost.com | Nottinghamshire Live
thecourier.co.uk | The Courier
leicestermercury.co.uk | Leicestershire Live
stokesentinel.co.uk | StokeonTrentLive
bournemouthecho.co.uk | Bournemouth Echo
belfastlive.co.uk | Belfast Live
portsmouth.co.uk | The News (Portsmouth)
yorkpress.co.uk | The Press
pressandjournal.co.uk | The Press and Journal
prospectmagazine.co.uk | Prospect
cornwalllive.com | CornwallLive
hulldailymail.co.uk | Hull Live
cambridge-news.co.uk | Cambridgeshire Live
gloucestershirelive.co.uk | GloucestershireLive
plymouthherald.co.uk | PlymouthLive
examinerlive.co.uk | ExaminerLive
derbytelegraph.co.uk | Burton Mail
90min.com | 90min
swindonadvertiser.co.uk | Swindon Advertiser
somersetlive.co.uk | Somerset Live
kentlive.news | KentLive
morningstaronline.co.uk | Morning Star
joe.co.uk | JOE
essexlive.news | EssexLive
newsletter.co.uk | News Letter
glasgowlive.co.uk | Glasgow Live
nationalworld.com | NationalWorld
sunderlandecho.com | Sunderland Echo
politicshome.com | PoliticsHome
edinburghlive.co.uk | Edinburgh Live
blackpoolgazette.co.uk | Blackpool Gazette
bylinetimes.com | Byline Times
leeds-live.co.uk | LeedsLive
lancs.live | LancsLive
tortoisemedia.com | Tortoise
tribunemag.co.uk | Tribune
thefootballfaithful.com | The Football Faithful
holyrood.com | Holyrood
# US curated core
nytimes.com | nytimes.com
cnn.com | CNN
forbes.com | Forbes
reuters.com | Reuters
wsj.com | Wall Street Journal
washingtonpost.com | Washington Post
bloomberg.com | Bloomberg
businessinsider.com | Business Insider
abcnews.go.com | ABC News
cnbc.com | CNBC
npr.org | NPR
foxnews.com | Fox News
wired.com | WIRED
usatoday.com | USA Today
time.com | TIME
techcrunch.com | TechCrunch
cbsnews.com | CBS News
cnet.com | CNET
apnews.com | Associated Press
theverge.com | Verge
nbcnews.com | NBC News
latimes.com | Daily Pilot
theatlantic.com | Atlantic
pbs.org | PBS
huffpost.com | HuffPost
nypost.com | New York Post
fortune.com | Fortune
newsweek.com | Newsweek
newyorker.com | New Yorker
zdnet.com | ZDNET
marketwatch.com | MarketWatch
arstechnica.com | Ars Technica
fastcompany.com | Fast Company
gizmodo.com | Gizmodo
politico.com | Politico
mashable.com | Mashable
engadget.com | Engadget
vox.com | Vox
axios.com | Axios
slate.com | Slate
sfgate.com | SFGATE
thehill.com | The Hill
chicagotribune.com | Lake Forester
thedailybeast.com | Daily Beast
salon.com | Salon
boston.com | Boston.com
nydailynews.com | Daily News
bostonglobe.com | Boston Globe
seattletimes.com | Seattle Times
propublica.org | ProPublica
barrons.com | Barron's
msnbc.com | MSNBC
washingtontimes.com | Washington Times
miamiherald.com | Miami Herald
mercurynews.com | Mercury News
dallasnews.com | Al Dia Dallas
breitbart.com | Breitbart
startribune.com | Star Tribune
nj.com | NJ.com
motherjones.com | Mother Jones
oregonlive.com | Oregonian
azcentral.com | Arizona Republic
denverpost.com | Denver Post
inquirer.com | Philadelphia Inquirer
freep.com | Detroit Free Press
sfchronicle.com | San Francisco Chronicle
theintercept.com | Intercept
newsmax.com | Newsmax
ajc.com | Atlanta Journal-Constitution
cleveland.com | Cleveland.com
baltimoresun.com | Aegis
mlive.com | MLive
washingtonexaminer.com | Washington Examiner
nationalreview.com | National Review
al.com | AL.com
jsonline.com | Milwaukee Journal Sentinel
sacbee.com | Sacramento Bee
reviewjournal.com | Las Vegas Review-Journal
tampabay.com | Tampa Bay Times
nola.com | NOLA.com
houstonchronicle.com | Houston Chronicle
orlandosentinel.com | Orlando Sentinel
sun-sentinel.com | Sun Sentinel
sltrib.com | Salt Lake Tribune
dailycaller.com | Daily Caller
stltoday.com | St. Louis Post-Dispatch
indystar.com | The Indianapolis Star
syracuse.com | Syracuse.com
theinformation.com | The Information
masslive.com | MassLive
dispatch.com | The Columbus Dispatch
pennlive.com | PennLive
tennessean.com | The Tennessean
courant.com | Q1587159
newsobserver.com | The News & Observer
charlotteobserver.com | Charlotte Observer
semafor.com | Semafor
adn.com | Anchorage Daily News
dailywire.com | Daily Wire
oklahoman.com | Oklahoman
thefederalist.com | Federalist
oann.com | OAN
puck.news | Puck
