tesco.com	Tesco
sainsburys.co.uk	Sainsbury's
asda.com	Asda
morrisons.com	Morrisons
waitrose.com	Waitrose
ocado.com	Ocado
iceland.co.uk	Iceland
coop.co.uk	Co-op
aldi.co.uk	Aldi UK
lidl.co.uk	Lidl UK
booths.co.uk	Booths
farmfoods.co.uk	Farmfoods
spar.co.uk	Spar UK
costco.co.uk	Costco UK
approvedfood.co.uk	Approved Food
musclefood.com	MuscleFood
gousto.co.uk	Gousto
hellofresh.co.uk	HelloFresh UK
mindfulchef.com	Mindful Chef
riverford.co.uk	Riverford
abelandcole.co.uk	Abel & Cole
donaldrussell.com	Donald Russell
graze.com	Graze
hotelchocolat.com	Hotel Chocolat
thorntons.co.uk	Thorntons
cadburygiftsdirect.co.uk	Cadbury Gifts Direct
whittard.co.uk	Whittard of Chelsea
pactcoffee.com	Pact Coffee
fortnumandmason.com	Fortnum & Mason
majestic.co.uk	Majestic Wine
laithwaites.co.uk	Laithwaites
nakedwines.com	Naked Wines
virginwines.co.uk	Virgin Wines
thewhiskyexchange.com	The Whisky Exchange
masterofmalt.com	Master of Malt
bbr.com	Berry Bros & Rudd
beerhawk.co.uk	Beer Hawk
beer52.com	Beer52
whiskyshop.com	The Whisky Shop
brewdog.com	BrewDog
craftginclub.co.uk	Craft Gin Club
johnlewis.com	John Lewis
marksandspencer.com	Marks & Spencer
next.co.uk	Next
argos.co.uk	Argos
very.co.uk	Very
littlewoods.com	Littlewoods
debenhams.com	Debenhams
fenwick.co.uk	Fenwick
selfridges.com	Selfridges
harrods.com	Harrods
libertylondon.com	Liberty London
harveynichols.com	Harvey Nichols
tkmaxx.com	TK Maxx
houseoffraser.co.uk	House of Fraser
matalan.co.uk	Matalan
thewhitecompany.com	The White Company
theworks.co.uk	The Works
wilko.com	Wilko
poundland.co.uk	Poundland
bmstores.co.uk	B&M
poundstretcher.co.uk	Poundstretcher
homebargains.co.uk	Home Bargains
therange.co.uk	The Range
qvcuk.com	QVC UK
studio.co.uk	Studio
jdwilliams.co.uk	JD Williams
simplybe.co.uk	Simply Be
freemans.com	Freemans
