# UK ecommerce and retail (enumerated Aug 2026, Tranco-validated, classified; top 245 by rank. Multinationals filed under primary market)
amazon.co.uk | Amazon UK
ebay.co.uk | eBay UK
argos.co.uk | Argos
asos.com | ASOS
tesco.com | Tesco
farfetch.com | Farfetch
next.co.uk | Next
johnlewis.com | John Lewis
marksandspencer.com | Marks & Spencer
vinted.co.uk | Vinted UK
swarovski.com | Swarovski
sainsburys.co.uk | Sainsbury's
diy.com | B&Q
rs-online.com | RS
currys.co.uk | Currys
very.co.uk | Very
sportsdirect.com | Sports Direct
smythstoys.com | Smyths Toys
dunelm.com | Dunelm
newlook.com | New Look
tkmaxx.com | TK Maxx
boots.com | Boots
therange.co.uk | The Range
depop.com | Depop
waterstones.com | Waterstones
mandmdirect.com | MandM Direct
asda.com | Asda
vestiairecollective.com | Vestiaire Collective
screwfix.com | Screwfix
abebooks.co.uk | AbeBooks UK
net-a-porter.com | Net-a-Porter
primark.com | Primark
rituals.com | Rituals
shein.co.uk | Shein UK
halfords.com | Halfords
lush.com | Lush
deichmann.com | Deichmann
farnell.com | Farnell
decathlon.co.uk | Decathlon UK
jdsports.co.uk | JD Sports
riverisland.com | River Island
charlestyrwhitt.com | Charles Tyrwhitt
wickes.co.uk | Wickes
superdrug.com | Superdrug
matalan.co.uk | Matalan
qvcuk.com | QVC UK
selfridges.com | Selfridges
boohoo.com | Boohoo
lookfantastic.com | LookFantastic
debenhams.com | Debenhams
ocado.com | Ocado
bershka.com | Bershka
blackwells.co.uk | Blackwell's
waitrose.com | Waitrose
cos.com | COS
harrods.com | Harrods
morrisons.com | Morrisons
onbuy.com | OnBuy
hollandandbarrett.com | Holland & Barrett
elementgames.co.uk | Element Games
ao.com | AO
massimodutti.com | Massimo Dutti
nintendo.co.uk | Nintendo UK
wayfair.co.uk | Wayfair UK
worldofbooks.com | World of Books
autodoc.co.uk | Autodoc UK
overclockers.co.uk | Overclockers UK
juno.co.uk | Juno Records
adidas.co.uk | Adidas UK
fatface.com | FatFace
houseoffraser.co.uk | House of Fraser
theoutnet.com | The Outnet
hmv.com | HMV
bouxavenue.com | Boux Avenue
endclothing.com | END Clothing
mpb.com | MPB
reiss.com | Reiss
notonthehighstreet.com | Notonthehighstreet
peacocks.co.uk | Peacocks
cottontraders.com | Cotton Traders
coop.co.uk | Co-op
gear4music.com | Gear4music
allsaints.com | AllSaints
moo.com | MOO
boohooman.com | BoohooMAN
spacenk.com | Space NK
lovecrafts.com | LoveCrafts
notino.co.uk | Notino UK
petsathome.com | Pets at Home
toolstation.com | Toolstation
aldi.co.uk | Aldi UK
sephora.co.uk | Sephora UK
lyreco.com | Lyreco UK
farrow-ball.com | Farrow & Ball
mountainwarehouse.com | Mountain Warehouse
topshop.com | Topshop
iceland.co.uk | Iceland
moonpig.com | Moonpig
theperfumeshop.com | The Perfume Shop
wilko.com | Wilko
costco.co.uk | Costco UK
freemans.com | Freemans
sportsshoes.com | SportsShoes
brandalley.co.uk | BrandAlley
jacksonsart.com | Jackson's Art Supplies
ralphlauren.co.uk | Ralph Lauren UK
robertdyas.co.uk | Robert Dyas
gooutdoors.co.uk | Go Outdoors
hobbycraft.co.uk | Hobbycraft
homebase.co.uk | Homebase
specsavers.co.uk | Specsavers
harveynichols.com | Harvey Nichols
jdwilliams.co.uk | JD Williams
appliancesdirect.co.uk | Appliances Direct
phase-eight.com | Phase Eight
schuh.co.uk | Schuh
lovehoney.co.uk | Lovehoney
superdry.com | Superdry
lakeland.co.uk | Lakeland
office.co.uk | Office
cinch.co.uk | Cinch
zooplus.co.uk | zooplus UK
yoursclothing.co.uk | Yours Clothing
thewhitecompany.com | The White Company
infinitymotorcycles.com | Infinity Motorcycles
backmarket.co.uk | Back Market UK
cultbeauty.co.uk | Cult Beauty
thompson-morgan.com | Thompson & Morgan
theworks.co.uk | The Works
eurocarparts.com | Euro Car Parts
victorianplumbing.co.uk | Victorian Plumbing
brewdog.com | BrewDog
game.co.uk | GAME
laredoute.co.uk | La Redoute UK
bulk.com | Bulk
thomassabo.com | Thomas Sabo
monicavinader.com | Monica Vinader
victoriassecret.co.uk | Victoria's Secret UK
roughtrade.com | Rough Trade
arket.com | Arket
hobbs.com | Hobbs
footasylum.com | Footasylum
flannels.com | Flannels
thewhiskyexchange.com | The Whisky Exchange
zavvi.com | Zavvi
monsoon.co.uk | Monsoon
evanscycles.com | Evans Cycles
fredperry.com | Fred Perry
scan.co.uk | Scan Computers
studio.co.uk | Studio
dfs.co.uk | DFS
newbalance.co.uk | New Balance UK
kwik-fit.com | Kwik Fit
crewclothing.co.uk | Crew Clothing
gsfcarparts.com | GSF Car Parts
sportsbikeshop.co.uk | Sportsbikeshop
prodirectsport.com | Pro:Direct Sport
blackcircles.com | Black Circles
motorpoint.co.uk | Motorpoint
habitat.co.uk | Habitat
fortnumandmason.com | Fortnum & Mason
whistles.com | Whistles
joules.com | Joules
libertylondon.com | Liberty London
fitflop.com | FitFlop
sweatybetty.com | Sweaty Betty
barbour.com | Barbour
plumbnation.co.uk | PlumbNation
underarmour.co.uk | Under Armour UK
cardfactory.co.uk | Card Factory
viovet.co.uk | VioVet
richersounds.com | Richer Sounds
guitarguitar.co.uk | GuitarGuitar
shpock.com | Shpock
