# UK news publishers (registry-derived Aug 2026: Wikidata + homepages.news + publisher networks + curation, Tranco-validated, LLM-classified)
theguardian.com | The Guardian
bbc.com | BBC News
bbc.co.uk | BBC
ft.com | Financial Times
telegraph.co.uk | The Telegraph
dailymail.co.uk | Daily Mail
independent.co.uk | The Independent
theconversation.com | The Conversation
goal.com | Goal
skysports.com | Sky Sports
economist.com | Economist
news.sky.com | Sky News
thesun.co.uk | The Sun
mirror.co.uk | Daily Mirror
express.co.uk | Daily Express
itv.com | ITV News
newscientist.com | New Scientist
thetimes.co.uk | The Times
metro.co.uk | Metro
thetimes.com | The Times
standard.co.uk | The Standard
channel4.com | Channel 4
huffingtonpost.co.uk | HuffPost UK
gbnews.com | GB News
scotsman.com | Scotsman
edinburghnews.scotsman.com | Edinburgh Evening News
manchestereveningnews.co.uk | Manchester Evening News
walesonline.co.uk | WalesOnline
theweek.com | The Week
inews.co.uk | i
dailystar.co.uk | Daily Star
newstatesman.com | New Statesman
liverpoolecho.co.uk | Liverpool Echo
dailyrecord.co.uk | Daily Record
talksport.com | talkSPORT
opendemocracy.net | openDemocracy
the-independent.com | The Independent
spectator.co.uk | Spectator
heraldscotland.com | The Herald
cityam.com | City A.M.
belfasttelegraph.co.uk | Belfast Telegraph
football365.com | Football365
tes.com | Tes
birminghammail.co.uk | Birmingham Mail
chroniclelive.co.uk | ChronicleLive
thescottishsun.co.uk | Scottish Sun
irishmirror.ie | Irish Mirror
bristolpost.co.uk | BristolLive
flightglobal.com | Flight Global
lbc.co.uk | LBC
yorkshirepost.co.uk | The Yorkshire Post
givemesport.com | GiveMeSport
irishnews.com | The Irish News
thepinknews.com | PinkNews
bellingcat.com | Bellingcat
unherd.com | UnHerd
expressandstar.com | Express & Star
thenational.scot | National
newarab.com | The New Arab
thetab.com | The Tab
indy100.com | indy100
kentonline.co.uk | KentOnline
edp24.co.uk | Eastern Daily Press
coventrytelegraph.net | CoventryLive
devonlive.com | DevonLive
theargus.co.uk | The Argus
dailypost.co.uk | North Wales Live
oxfordmail.co.uk | Oxford Mail
thenorthernecho.co.uk | The Northern Echo
alaraby.co.uk | Al-Araby Al-Jadeed
sussexexpress.co.uk | Sussex Express
mylondon.news | MyLondon
thestar.co.uk | The Star (Sheffield)
thejc.com | The Jewish Chronicle
nottinghampost.com | Nottinghamshire Live
yorkshireeveningpost.co.uk | Yorkshire Evening Post
shropshirestar.com | Shropshire Star
dailyecho.co.uk | Southern Daily Echo
thecourier.co.uk | The Courier
leicestermercury.co.uk | Leicestershire Live
stokesentinel.co.uk | StokeonTrentLive
bournemouthecho.co.uk | Bournemouth Echo
belfastlive.co.uk | Belfast Live
lancashiretelegraph.co.uk | Lancashire Telegraph
thetelegraphandargus.co.uk | Telegraph & Argus
portsmouth.co.uk | The News (Portsmouth)
yorkpress.co.uk | The Press
eadt.co.uk | East Anglian Daily Times
glasgowtimes.co.uk | Glasgow Times
pressandjournal.co.uk | The Press and Journal
prospectmagazine.co.uk | Prospect
cornwalllive.com | CornwallLive
hulldailymail.co.uk | Hull Live
cambridge-news.co.uk | Cambridgeshire Live
theboltonnews.co.uk | The Bolton News
gloucestershirelive.co.uk | GloucestershireLive
gazettelive.co.uk | Teesside Live
plymouthherald.co.uk | PlymouthLive
examinerlive.co.uk | ExaminerLive
alquds.co.uk | Al-Quds Al-Arabi
derbytelegraph.co.uk | Burton Mail
southwalesargus.co.uk | South Wales Argus
90min.com | 90min
newsandstar.co.uk | News and Star Carlisle
lawgazette.co.uk | The Law Society Gazette
bigissue.com | The Big Issue
dublinlive.ie | Dublin Live
echo-news.co.uk | Echo (Essex)
worcesternews.co.uk | Worcester News
christiantoday.com | Christian Today
swindonadvertiser.co.uk | Swindon Advertiser
getsurrey.co.uk | Surrey Live
dorsetecho.co.uk | Dorset Echo
somersetlive.co.uk | Somerset Live
kentlive.news | KentLive
mailonsunday.co.uk | The Mail on Sunday
morningstaronline.co.uk | Morning Star
